,pointA_latitude,pointA_longitude,pointB_latitude,pointB_longitude,path_segment_ID,sub_segment_length
7326,-35.20085625561154,149.09420320140828,-35.20084061274255,149.0942758745151,r3dp8xzh4sz97f70rr3dp8xzhhrty9ukc2,6.828436519339869
7327,-35.20084061274255,149.0942758745151,-35.200814721550685,149.09437543858002,r3dp8xzhhrty9ukc2r3dp8xzhqu811ddgh,9.493589870531633
7328,-35.200814721550685,149.09437543858002,-35.200791044864175,149.09446578147183,r3dp8xzhqu811ddghr3dp8xzk8bgqm60jt,8.620545798703512
7329,-35.200791044864175,149.09446578147183,-35.20078505966055,149.09451820595632,r3dp8xzk8bgqm60jtr3dp8xzkd44d00svs,4.809634424708212
7350,-35.20408535161646,149.13496236927085,-35.20402249437492,149.13504303556135,r3dp9xkc26zg52rm4r3dp9xkcdqs1br041,10.127608298833232
7351,-35.20402249437492,149.13504303556135,-35.2039176027783,149.13515745750874,r3dp9xkcdqs1br041r3dp9xkfm417dmwcu,15.624178538053378
7353,-35.20380846968067,149.13527708843733,-35.20370789309576,149.13540194803133,r3dp9xkfzy6w8vxn4r3dp9xm5d9pwshrxf,15.930192232707917
7354,-35.20370789309576,149.13540194803133,-35.203568786044194,149.13557099973215,r3dp9xm5d9pwshrxfr3dp9xmhqejsmyqcn,21.798644031354975
7355,-35.203568786044194,149.13557099973215,-35.20341043934026,149.13573744069012,r3dp9xmhqejsmyqcnr3dp9xmm689v12svv,23.210146289767334
7356,-35.20341043934026,149.13573744069012,-35.20330895854051,149.135864658536,r3dp9xmm689v12svvr3dp9xmmve8dkun4c,16.153598452761695
7390,-35.20319638337486,149.13600009430783,-35.20308941794499,149.13611451066024,r3dp9xmw88t9ut60br3dp9xmx5k6zyxss6,15.796801045318384
7391,-35.20308941794499,149.13611451066024,-35.203014514347366,149.13620816833597,r3dp9xmx5k6zyxss6r3dp9xmxtd2yc3uck,11.907330532923645
7397,-35.202719179090415,149.1365410231993,-35.202612151628806,149.13667108526576,r3dp9xtcm38bx9s4sr3dp9xw1bm3yzpbbz,16.77145368238699
7398,-35.202612151628806,149.13667108526576,-35.20251587109497,149.13678030084998,r3dp9xw1bm3yzpbbzr3dp9xw46z7mm4888,14.597526980214973
7418,-35.20146132987682,149.1395000218663,-35.20143557398574,149.1396067096141,r3dp9zb0d5zruj4y1r3dp9zb0u8yctc8jq,10.1079391450673
7419,-35.20143557398574,149.1396067096141,-35.20142477624288,149.1397160564105,r3dp9zb0u8yctc8jqr3dp9zb0z6b3yygfj,10.007618511029118
7424,-35.20147473806786,149.14023001534235,-35.20146472080745,149.1403255281475,r3dp9zb8e1rxymtper3dp9zb8t7qgtmvuu,8.749553077487311
7476,-35.19933460860564,149.1452750486443,-35.19929983549827,149.14534109067282,r3dpcbhm0b3w39dczr3dpcbhm4qfv9rm3g,7.138625128805778
7477,-35.19929983549827,149.14534109067282,-35.199284304674684,149.14536686793045,r3dpcbhm4qfv9rm3gr3dpcbhm6cy427zw6,2.9100287443569473
7478,-35.15071897298863,149.14787747022507,-35.15076620747157,149.14826442188613,r3f01cn0jrn1cg93fr3f01byryqq84g44v,35.570554454916795
7480,-35.150779154243466,149.14837055788803,-35.1507892881777,149.1484538093305,r3f01byxbgvdz7dqbr3f01byxfcgy3v2bu,7.652424033645853
7481,-35.1507892881777,149.1484538093305,-35.15079473952201,149.14849425606116,r3f01byxfcgy3v2bur3f01byxgbcvyuevz,3.726935384574347
7487,-35.150713704705645,149.1478343902399,-35.15072691119374,149.14783199848384,r3f01cn0k2jcmc5wer3f01cn0hms4sb32h,1.48450717996578
7488,-35.15072691119374,149.14783199848384,-35.15077419309172,149.1478234645267,r3f01cn0hms4sb32hr3f01bypuhvb3ntr9,5.314450105779122
7694,-35.153008721172725,149.14967678502336,-35.153034158751126,149.1496971303492,r3f01bx6zk5wzp7svr3f01bx6xz6zhxdq4,3.3796367501381583
7866,-35.1531901774309,149.1498075761371,-35.15322780585364,149.14984643347506,r3f01bx9f6mhxctjyr3f01bx9e76hp4fsq,5.476001610834891
7867,-35.15322780585364,149.14984643347506,-35.153259628151766,149.1498791354894,r3f01bx9e76hp4fsqr3f01bx9kj6w72km4,4.621699150295022
7868,-35.153259628151766,149.1498791354894,-35.15328933549445,149.14990920015958,r3f01bx9kj6w72km4r3f01bx9hzcj0c8hy,4.287523162181018
7877,-35.153512315736045,149.1500225056233,-35.15354056365995,149.15002869970894,r3f01brxzqmdbmd8cr3f01brxz944kjk53,3.1911063771315975
7878,-35.15354056365995,149.15002869970894,-35.15357245659613,149.15003934451178,r3f01brxz944kjk53r3f01brxxg4h4j7ue,3.6760092734116205
7879,-35.15357245659613,149.15003934451178,-35.153596328158045,149.15004997548928,r3f01brxxg4h4j7uer3f01brz2n9vzb95s,2.8248819222606896
7880,-35.153596328158045,149.15004997548928,-35.153636857995636,149.15007385875782,r3f01brz2n9vzb95sr3f01brz0x5gcxvpn,5.002511868941471
7953,-35.25030921869218,149.1552831054038,-35.25035104992842,149.155272687771,r3dp6ngs4404ghuphr3dp6ngecf236ecv0,4.7466414504129935
7954,-35.25035104992842,149.155272687771,-35.250460581497066,149.15517482544175,r3dp6ngecf236ecv0r3dp6ng7pmz7grxnb,15.076678299874816
7955,-35.250460581497066,149.15517482544175,-35.25054005900149,149.15507432720224,r3dp6ng7pmz7grxnbr3dp6ng6tph3vkrwe,12.703623005132231
7956,-35.25054005900149,149.15507432720224,-35.25071265379634,149.15469778277975,r3dp6ng6tph3vkrwer3dp6ng1sqgskf30y,39.21018708216265
7957,-35.251103548732246,149.10643172353483,-35.251089906439304,149.10641692979507,r3dp2yxzrwjbec25hr3dp2yxzx2dcfv2rs,2.026260764971218
7958,-35.251089906439304,149.10641692979507,-35.25107559198814,149.10639741085348,r3dp2yxzx2dcfv2rsr3dp2yxzwghr31bty,2.3822190205457208
7959,-35.25107559198814,149.10639741085348,-35.25106303570488,149.10637701504984,r3dp2yxzwghr31btyr3dp2yxzwmt44qg2z,2.3193600980277513
7960,-35.25106303570488,149.10637701504984,-35.25104872856311,149.10634837692834,r3dp2yxzwmt44qg2zr3dp2yxzv8pxx1bf7,3.048517100422369
7963,-35.25102287320114,149.10627852389297,-35.25101511750347,149.10622830415514,r3dp2yxzuj59u3297r3dp2yxzfyw0jcz24,4.641044642445252
7964,-35.25101511750347,149.10622830415514,-35.25101307988729,149.10618424392376,r3dp2yxzfyw0jcz24r3dp2yxzcyvk4wtnu,4.007311161024642
